Type,File,Details
EMPTY_SESSION,GPS_DOBACK023_20250930.txt,"{""type"":""EMPTY_SESSION"",""file"":""GPS_DOBACK023_20250930.txt"",""sessionId"":3}"
LARGE_GAP,GPS_DOBACK023_20250930.txt,"{""type"":""LARGE_GAP"",""file"":""GPS_DOBACK023_20250930.txt"",""afterSession"":1,""beforeSession"":3,""gapMinutes"":358.51666666666665}"
LARGE_GAP,GPS_DOBACK023_20250930.txt,"{""type"":""LARGE_GAP"",""file"":""GPS_DOBACK023_20250930.txt"",""afterSession"":3,""beforeSession"":4,""gapMinutes"":87.38333333333334}"
SESSION_ID_OUT_OF_SEQUENCE,GPS_DOBACK023_20250930.txt,"{""type"":""SESSION_ID_OUT_OF_SEQUENCE"",""file"":""GPS_DOBACK023_20250930.txt"",""expectedId"":2,""foundId"":3}"
EMPTY_SESSION,GPS_DOBACK023_20251004.txt,"{""type"":""EMPTY_SESSION"",""file"":""GPS_DOBACK023_20251004.txt"",""sessionId"":3}"
EMPTY_SESSION,GPS_DOBACK023_20251004.txt,"{""type"":""EMPTY_SESSION"",""file"":""GPS_DOBACK023_20251004.txt"",""sessionId"":5}"
LARGE_GAP,ROTATIVO_DOBACK023_20250930.txt,"{""type"":""LARGE_GAP"",""file"":""ROTATIVO_DOBACK023_20250930.txt"",""afterSession"":11,""beforeSession"":12,""gapMinutes"":76.81666666666666}"
LARGE_GAP,GPS_DOBACK024_20251001.txt,"{""type"":""LARGE_GAP"",""file"":""GPS_DOBACK024_20251001.txt"",""afterSession"":1,""beforeSession"":2,""gapMinutes"":89.4}"
LARGE_GAP,GPS_DOBACK024_20251001.txt,"{""type"":""LARGE_GAP"",""file"":""GPS_DOBACK024_20251001.txt"",""afterSession"":2,""beforeSession"":3,""gapMinutes"":196.08333333333334}"
LARGE_GAP,GPS_DOBACK024_20251003.txt,"{""type"":""LARGE_GAP"",""file"":""GPS_DOBACK024_20251003.txt"",""afterSession"":1,""beforeSession"":2,""gapMinutes"":624.1333333333333}"
LARGE_GAP,GPS_DOBACK024_20251005.txt,"{""type"":""LARGE_GAP"",""file"":""GPS_DOBACK024_20251005.txt"",""afterSession"":1,""beforeSession"":2,""gapMinutes"":521.8}"
EMPTY_SESSION,GPS_DOBACK024_20251007.txt,"{""type"":""EMPTY_SESSION"",""file"":""GPS_DOBACK024_20251007.txt"",""sessionId"":2}"
LARGE_GAP,GPS_DOBACK024_20251007.txt,"{""type"":""LARGE_GAP"",""file"":""GPS_DOBACK024_20251007.txt"",""afterSession"":1,""beforeSession"":2,""gapMinutes"":69.85}"
LARGE_GAP,GPS_DOBACK024_20251007.txt,"{""type"":""LARGE_GAP"",""file"":""GPS_DOBACK024_20251007.txt"",""afterSession"":2,""beforeSession"":3,""gapMinutes"":213.5}"
EMPTY_SESSION,GPS_DOBACK024_20251008.txt,"{""type"":""EMPTY_SESSION"",""file"":""GPS_DOBACK024_20251008.txt"",""sessionId"":2}"
LARGE_GAP,GPS_DOBACK024_20251008.txt,"{""type"":""LARGE_GAP"",""file"":""GPS_DOBACK024_20251008.txt"",""afterSession"":3,""beforeSession"":4,""gapMinutes"":211.91666666666666}"
LARGE_GAP,GPS_DOBACK024_20251008.txt,"{""type"":""LARGE_GAP"",""file"":""GPS_DOBACK024_20251008.txt"",""afterSession"":4,""beforeSession"":5,""gapMinutes"":111.78333333333333}"
LARGE_GAP,GPS_DOBACK024_20251008.txt,"{""type"":""LARGE_GAP"",""file"":""GPS_DOBACK024_20251008.txt"",""afterSession"":5,""beforeSession"":6,""gapMinutes"":112.73333333333333}"
LARGE_GAP,GPS_DOBACK024_20251008.txt,"{""type"":""LARGE_GAP"",""file"":""GPS_DOBACK024_20251008.txt"",""afterSession"":6,""beforeSession"":7,""gapMinutes"":213.61666666666667}"
