File,Vehicle,Date,Type,AfterSession,BeforeSession,GapMinutes,GapFormatted
GPS_DOBACK023_20250930.txt,DOBACK023,20250930,GPS,1,3,358.52,5h 58m 31s
GPS_DOBACK023_20250930.txt,DOBACK023,20250930,GPS,3,4,87.38,1h 27m 23s
GPS_DOBACK023_20251004.txt,DOBACK023,20251004,GPS,1,2,17.93,0h 17m 56s
GPS_DOBACK023_20251004.txt,DOBACK023,20251004,GPS,2,3,8.07,0h 8m 4s
GPS_DOBACK023_20251004.txt,DOBACK023,20251004,GPS,3,4,38.50,0h 38m 30s
GPS_DOBACK023_20251004.txt,DOBACK023,20251004,GPS,4,5,12.82,0h 12m 49s
ROTATIVO_DOBACK023_20250930.txt,DOBACK023,20250930,ROTATIVO,11,12,76.82,1h 16m 49s
ROTATIVO_DOBACK023_20251004.txt,DOBACK023,20251004,ROTATIVO,1,2,12.15,0h 12m 9s
ROTATIVO_DOBACK023_20251004.txt,DOBACK023,20251004,ROTATIVO,2,3,5.32,0h 5m 19s
ROTATIVO_DOBACK023_20251004.txt,DOBACK023,20251004,ROTATIVO,3,4,6.05,0h 6m 3s
ROTATIVO_DOBACK023_20251004.txt,DOBACK023,20251004,ROTATIVO,4,5,31.20,0h 31m 12s
ROTATIVO_DOBACK023_20251004.txt,DOBACK023,20251004,ROTATIVO,5,6,5.57,0h 5m 34s
GPS_DOBACK024_20251001.txt,DOBACK024,20251001,GPS,1,2,89.40,1h 29m 24s
GPS_DOBACK024_20251001.txt,DOBACK024,20251001,GPS,2,3,196.08,3h 16m 5s
GPS_DOBACK024_20251003.txt,DOBACK024,20251003,GPS,1,2,624.13,10h 24m 8s
GPS_DOBACK024_20251003.txt,DOBACK024,20251003,GPS,2,3,55.20,0h 55m 12s
GPS_DOBACK024_20251005.txt,DOBACK024,20251005,GPS,1,2,521.80,8h 41m 48s
GPS_DOBACK024_20251005.txt,DOBACK024,20251005,GPS,2,3,32.98,0h 32m 59s
GPS_DOBACK024_20251007.txt,DOBACK024,20251007,GPS,1,2,69.85,1h 9m 51s
GPS_DOBACK024_20251007.txt,DOBACK024,20251007,GPS,2,3,213.50,3h 33m 30s
GPS_DOBACK024_20251008.txt,DOBACK024,20251008,GPS,1,2,46.68,0h 46m 41s
GPS_DOBACK024_20251008.txt,DOBACK024,20251008,GPS,2,3,19.57,0h 19m 34s
GPS_DOBACK024_20251008.txt,DOBACK024,20251008,GPS,3,4,211.92,3h 31m 55s
GPS_DOBACK024_20251008.txt,DOBACK024,20251008,GPS,4,5,111.78,1h 51m 47s
GPS_DOBACK024_20251008.txt,DOBACK024,20251008,GPS,5,6,112.73,1h 52m 44s
GPS_DOBACK024_20251008.txt,DOBACK024,20251008,GPS,6,7,213.62,3h 33m 37s
GPS_DOBACK024_20251009.txt,DOBACK024,20251009,GPS,1,2,542.17,9h 2m 10s
GPS_DOBACK024_20251009.txt,DOBACK024,20251009,GPS,2,3,80.78,1h 20m 47s
GPS_DOBACK024_20251009.txt,DOBACK024,20251009,GPS,3,4,14.15,0h 14m 9s
ROTATIVO_DOBACK024_20250930.txt,DOBACK024,20250930,ROTATIVO,1,2,123.30,2h 3m 18s
ROTATIVO_DOBACK024_20251001.txt,DOBACK024,20251001,ROTATIVO,1,2,61.63,1h 1m 38s
ROTATIVO_DOBACK024_20251001.txt,DOBACK024,20251001,ROTATIVO,2,3,194.83,3h 14m 50s
ROTATIVO_DOBACK024_20251001.txt,DOBACK024,20251001,ROTATIVO,3,4,88.57,1h 28m 34s
ROTATIVO_DOBACK024_20251001.txt,DOBACK024,20251001,ROTATIVO,5,6,313.43,5h 13m 26s
ROTATIVO_DOBACK024_20251001.txt,DOBACK024,20251001,ROTATIVO,6,7,12.30,0h 12m 18s
ROTATIVO_DOBACK024_20251002.txt,DOBACK024,20251002,ROTATIVO,1,2,447.78,7h 27m 47s
ROTATIVO_DOBACK024_20251002.txt,DOBACK024,20251002,ROTATIVO,2,3,34.25,0h 34m 15s
ROTATIVO_DOBACK024_20251002.txt,DOBACK024,20251002,ROTATIVO,3,4,87.80,1h 27m 48s
ROTATIVO_DOBACK024_20251002.txt,DOBACK024,20251002,ROTATIVO,4,5,444.60,7h 24m 36s
ROTATIVO_DOBACK024_20251002.txt,DOBACK024,20251002,ROTATIVO,5,6,5.68,0h 5m 41s
ROTATIVO_DOBACK024_20251003.txt,DOBACK024,20251003,ROTATIVO,1,2,575.85,9h 35m 51s
ROTATIVO_DOBACK024_20251003.txt,DOBACK024,20251003,ROTATIVO,3,4,9.62,0h 9m 37s
ROTATIVO_DOBACK024_20251004.txt,DOBACK024,20251004,ROTATIVO,2,3,9.90,0h 9m 54s
ROTATIVO_DOBACK024_20251004.txt,DOBACK024,20251004,ROTATIVO,4,5,10.08,0h 10m 5s
ROTATIVO_DOBACK024_20251004.txt,DOBACK024,20251004,ROTATIVO,5,6,60.13,1h 0m 8s
ROTATIVO_DOBACK024_20251004.txt,DOBACK024,20251004,ROTATIVO,6,7,168.72,2h 48m 43s
ROTATIVO_DOBACK024_20251004.txt,DOBACK024,20251004,ROTATIVO,7,8,190.97,3h 10m 58s
ROTATIVO_DOBACK024_20251004.txt,DOBACK024,20251004,ROTATIVO,8,9,80.27,1h 20m 16s
ROTATIVO_DOBACK024_20251004.txt,DOBACK024,20251004,ROTATIVO,9,10,189.83,3h 9m 50s
ROTATIVO_DOBACK024_20251005.txt,DOBACK024,20251005,ROTATIVO,1,2,492.53,8h 12m 32s
ROTATIVO_DOBACK024_20251005.txt,DOBACK024,20251005,ROTATIVO,2,3,24.47,0h 24m 28s
ROTATIVO_DOBACK024_20251005.txt,DOBACK024,20251005,ROTATIVO,3,4,45.63,0h 45m 38s
ROTATIVO_DOBACK024_20251005.txt,DOBACK024,20251005,ROTATIVO,4,5,9.78,0h 9m 47s
ROTATIVO_DOBACK024_20251005.txt,DOBACK024,20251005,ROTATIVO,5,6,28.45,0h 28m 27s
ROTATIVO_DOBACK024_20251005.txt,DOBACK024,20251005,ROTATIVO,7,8,208.95,3h 28m 57s
ROTATIVO_DOBACK024_20251006.txt,DOBACK024,20251006,ROTATIVO,1,2,221.07,3h 41m 4s
ROTATIVO_DOBACK024_20251007.txt,DOBACK024,20251007,ROTATIVO,2,3,205.73,3h 25m 44s
ROTATIVO_DOBACK024_20251007.txt,DOBACK024,20251007,ROTATIVO,4,5,34.77,0h 34m 46s
ROTATIVO_DOBACK024_20251007.txt,DOBACK024,20251007,ROTATIVO,5,6,36.35,0h 36m 21s
