Vehicle,Date,Type,SessionId,StartTime,EndTime,Duration,DataLines,StartLine,EndLine
DOBACK023,20250930,estabilidad,2,null,null,null,6127,1,6741
DOBACK023,20250930,estabilidad,3,null,null,null,2467,6742,9456
DOBACK023,20251004,estabilidad,1,null,null,null,3479,1,3828
DOBACK023,20251004,estabilidad,2,null,null,null,1657,3829,5652
DOBACK023,20251004,estabilidad,3,null,null,null,768,5653,6498
DOBACK023,20251004,estabilidad,4,null,null,null,4297,6499,11226
DOBACK023,20251004,estabilidad,5,null,null,null,2288,11227,13744
DOBACK023,20250930,GPS,1,2025-09-30T09:35:13.000Z,2025-09-30T09:35:13.000Z,null,67,1,69
DOBACK023,20250930,GPS,3,2025-09-30T15:33:44.000Z,2025-09-30T15:33:44.000Z,null,0,415,415
DOBACK023,20250930,GPS,4,2025-09-30T17:01:07.000Z,2025-09-30T17:01:07.000Z,null,56,979,1036
DOBACK023,20251004,GPS,1,2025-10-04T07:56:32.000Z,2025-10-04T07:56:32.000Z,null,71,1,73
DOBACK023,20251004,GPS,2,2025-10-04T08:14:28.000Z,2025-10-04T08:14:28.000Z,null,110,317,428
DOBACK023,20251004,GPS,3,2025-10-04T08:22:32.000Z,2025-10-04T08:22:32.000Z,null,0,482,482
DOBACK023,20251004,GPS,4,2025-10-04T09:01:02.000Z,2025-10-04T09:01:02.000Z,null,13,562,576
DOBACK023,20251004,GPS,5,2025-10-04T09:13:51.000Z,2025-10-04T09:13:51.000Z,null,0,952,952
DOBACK023,20250930,ROTATIVO,11,2025-09-30T15:37:47.000Z,2025-09-30T15:44:18.000Z,391,27,1,29
DOBACK023,20250930,ROTATIVO,12,2025-09-30T17:01:07.000Z,2025-09-30T17:05:22.000Z,255,18,30,49
DOBACK023,20251004,ROTATIVO,1,2025-10-04T07:56:32.000Z,2025-10-04T08:02:19.000Z,347,24,1,26
DOBACK023,20251004,ROTATIVO,2,2025-10-04T08:14:28.000Z,2025-10-04T08:17:13.000Z,165,12,27,40
DOBACK023,20251004,ROTATIVO,3,2025-10-04T08:22:32.000Z,2025-10-04T08:23:47.000Z,75,6,41,48
DOBACK023,20251004,ROTATIVO,4,2025-10-04T08:29:50.000Z,2025-10-04T08:29:50.000Z,null,1,49,51
DOBACK023,20251004,ROTATIVO,5,2025-10-04T09:01:02.000Z,2025-10-04T09:08:17.000Z,435,30,52,83
DOBACK023,20251004,ROTATIVO,6,2025-10-04T09:13:51.000Z,2025-10-04T09:17:52.000Z,241,17,84,102
DOBACK024,20250930,estabilidad,1,null,null,null,38759,1,42636
DOBACK024,20250930,estabilidad,2,null,null,null,50359,42637,98032
DOBACK024,20251001,estabilidad,1,null,null,null,16559,1,18216
DOBACK024,20251001,estabilidad,2,null,null,null,759,18217,19052
