Vehiculo,Fecha,Tipo,NombreArchivo,TamañoKB,TotalLineas,Sesiones,CalidadDatos%,CoordInvalidas,SinDatosGPS,TimestampsCorruptos,Incompleto,Problemas
DOBACK023,30/09/2025,ESTABILIDAD,ESTABILIDAD_DOBACK023_20250930.txt,1440.36,9456,2,100,0,0,0,NO,""
DOBACK023,04/10/2025,ESTABILIDAD,ESTABILIDAD_DOBACK023_20251004.txt,2110.23,13744,5,100,0,0,0,NO,""
DOBACK023,30/09/2025,GPS,GPS_DOBACK023_20250930.txt,85.59,1206,3,90,0,123,0,NO,""
DOBACK023,04/10/2025,GPS,GPS_DOBACK023_20251004.txt,81.20,1148,5,83,0,194,0,NO,""
DOBACK023,30/09/2025,ROTATIVO,ROTATIVO_DOBACK023_20250930.txt,1.15,49,2,100,0,0,0,NO,""
DOBACK023,04/10/2025,ROTATIVO,ROTATIVO_DOBACK023_20251004.txt,2.43,102,6,100,0,0,0,NO,""
DOBACK024,30/09/2025,ESTABILIDAD,ESTABILIDAD_DOBACK024_20250930.txt,15145.27,98032,2,100,0,0,0,NO,""
DOBACK024,01/10/2025,ESTABILIDAD,ESTABILIDAD_DOBACK024_20251001.txt,15586.00,100562,7,100,0,0,0,NO,""
DOBACK024,02/10/2025,ESTABILIDAD,ESTABILIDAD_DOBACK024_20251002.txt,15423.52,99745,6,100,0,0,0,NO,""
DOBACK024,03/10/2025,ESTABILIDAD,ESTABILIDAD_DOBACK024_20251003.txt,19627.62,128361,4,100,0,0,0,NO,""
DOBACK024,04/10/2025,ESTABILIDAD,ESTABILIDAD_DOBACK024_20251004.txt,12710.97,82211,10,100,0,0,0,NO,""
DOBACK024,05/10/2025,ESTABILIDAD,ESTABILIDAD_DOBACK024_20251005.txt,17220.86,111106,8,100,0,0,0,NO,""
DOBACK024,06/10/2025,ESTABILIDAD,ESTABILIDAD_DOBACK024_20251006.txt,12913.00,83270,2,100,0,0,0,NO,""
DOBACK024,07/10/2025,ESTABILIDAD,ESTABILIDAD_DOBACK024_20251007.txt,42377.44,275118,9,100,0,0,0,NO,""
DOBACK024,08/10/2025,ESTABILIDAD,ESTABILIDAD_DOBACK024_20251008.txt,19183.83,124199,7,100,0,0,0,NO,""
DOBACK024,30/09/2025,GPS,GPS_DOBACK024_20250930.txt,89.87,1282,1,79,0,269,1,NO,"Timestamp corrupto detectado"
DOBACK024,01/10/2025,GPS,GPS_DOBACK024_20251001.txt,113.12,1611,3,80,0,320,0,NO,""
DOBACK024,02/10/2025,GPS,GPS_DOBACK024_20251002.txt,53.26,765,1,51,0,372,1,NO,"Timestamp corrupto detectado"
DOBACK024,03/10/2025,GPS,GPS_DOBACK024_20251003.txt,471.33,6650,3,92,0,560,3,NO,"Timestamp corrupto detectado"
DOBACK024,04/10/2025,GPS,GPS_DOBACK024_20251004.txt,37.33,545,1,44,0,304,0,NO,""
DOBACK024,05/10/2025,GPS,GPS_DOBACK024_20251005.txt,191.37,2702,3,84,0,427,1,NO,"Timestamp corrupto detectado"
DOBACK024,06/10/2025,GPS,GPS_DOBACK024_20251006.txt,138.04,1957,1,88,0,229,2,NO,"Timestamp corrupto detectado"
DOBACK024,07/10/2025,GPS,GPS_DOBACK024_20251007.txt,387.75,5454,3,91,0,487,2,NO,"Timestamp corrupto detectado"
DOBACK024,08/10/2025,GPS,GPS_DOBACK024_20251008.txt,596.75,8446,7,79,0,1781,2,NO,"Timestamp corrupto detectado"
DOBACK024,09/10/2025,GPS,GPS_DOBACK024_20251009.txt,697.89,9795,4,95,0,464,4,NO,"Hora inválida (>24h); Timestamp corrupto detectado"
DOBACK024,30/09/2025,ROTATIVO,ROTATIVO_DOBACK024_20250930.txt,13.54,601,2,100,0,0,0,NO,""
