ESTABILIDAD;07/10/2025 09:56:05;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
-13.91; -14.88; 1007.23; 159.43; -43.05; -291.99;   0.80;   0.22;   5.61; 27786.00; 20002.00; 20000.00; 19997.00; 20002.00; 19997.00;   0.97; 1007.44; 195646.00;   0.50;
-13.91; -15.13; 1007.35; -260.58;  -3.67; -226.36;   0.81;   0.20;   5.62; 45147.00; 20000.00; 19998.00; 20004.00; 19995.00; 19998.00;   0.97; 1007.56; 195086.00;   0.50;
-13.91; -14.88; 1007.48; -654.33; 306.95; -270.11;   0.80;   0.21;   5.64; 12837.00; 19999.00; 19999.00; 19999.00; 20000.00; 20002.00;   0.97; 1007.68; 195086.00;   0.50;
-14.03; -14.52; 1008.45; -746.20;  13.83; -256.99;   0.80;   0.23;   5.66; 28837.00; 20000.00; 19996.00; 19999.00; 20004.00; 19995.00;   0.97; 1008.65; 195086.00;   0.50;
-14.03; -14.88; 1007.48; -413.70;   5.08; 215.51;   0.80;   0.24;   5.69; 9757.00; 19998.00; 19999.00; 19999.00; 20000.00; 19999.00;   0.97; 1007.68; 195086.00;   0.50;
-14.03; -14.88; 1007.48; -216.82; 127.58; 276.76;   0.81;   0.24;   5.71; 109771.00; 19998.00; 19999.00; 20003.00; 19997.00; 19998.00;   0.97; 1007.68; 195086.00;   0.50;
-13.54; -15.13; 1007.11; -41.82; -12.42; 329.26;   0.80;   0.25;   5.73; 20460.00; 20002.00; 19997.00; 20004.00; 19995.00; 19999.00;   0.98; 1007.31; 195086.00;   0.50;
-13.91; -14.64; 1008.45; 163.80; -283.67; 530.51;   0.81;   0.25;   5.74; 17027.00; 19998.00; 19999.00; 19999.00; 19999.00; 20003.00;   0.97; 1008.65; 195086.00;   0.50;
-13.91; -14.64; 1008.45; 496.30; -318.67; 963.64;   0.82;   0.23;   5.75; 116943.00; 20000.00; 19996.00; 19999.00; 19999.00; 19999.00;   0.97; 1008.65; 195086.00;   0.50;
-14.27; -14.76; 1007.96; 400.05; -117.42; 1112.39;   0.82;   0.20;   5.76; 16067.00; 19999.00; 19999.00; 20000.00; 19999.00; 20059.00;   0.97; 1008.17; 195086.00;   0.50;
09:56:05
-14.27; -14.76; 1007.96; 347.55; -73.67; 968.01;   0.83;   0.18;   5.75; 114592.00; 19940.00; 19998.00; 19998.00; 19999.00; 20002.00;   0.97; 1008.17; 195086.00;   0.50;
-14.27; -14.76; 1007.96; 268.80; -274.92; 933.01;   0.84;   0.17;   5.75; 214684.00; 19997.00; 19999.00; 19999.00; 20003.00; 20002.00;   0.97; 1008.17; 195086.00;   0.50;
-14.03; -14.88; 1007.23; -138.07; -218.05; 876.14;   0.84;   0.15;   5.75; 4874.00; 19999.00; 19995.00; 19998.00; 19999.00; 20002.00;   0.97; 1007.44; 196359.00;   0.50;
-14.03; -14.64; 1007.96; -479.33; 158.20; 832.39;   0.85;   0.14;   5.75; 99443.00; 20001.00; 19996.00; 19999.00; 19999.00; 19999.00;   0.97; 1008.17; 196359.00;   0.50;
-14.27; -14.88; 1007.11; -496.83; 166.95; 233.01;   0.85;   0.16;   5.75; 73416.00; 19999.00; 20000.00; 19998.00; 19999.00; 19999.00;   0.97; 1007.32; 196359.00;   0.50;
-14.15; -14.40; 1008.45; -422.45; -64.92; 276.76;   0.85;   0.16;   5.75; 3333.00; 20000.00; 19999.00; 20003.00; 19995.00; 19999.00;   0.97; 1008.65; 196359.00;   0.50;
