ESTABILIDAD;02/10/2025 09:50:14;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
-18.42;  17.81; 998.57; -233.10; -169.49; 665.17;   0.99;   0.41;   2.35; 8665.00; 19999.00; 19999.00; 19999.00; 20002.00; 19997.00;   0.97; 998.90; 193899.00;   0.50;
-18.42;  17.81; 998.57; -639.97; -707.61; 1063.30;   0.97;   0.44;   2.35; 109117.00; 20003.00; 19999.00; 19996.00; 19999.00; 19999.00;   0.97; 998.90; 193899.00;   0.50;
-17.32;  17.08; 998.81; -88.73; -983.24; 796.42;   0.92;   0.39;   2.37; 31385.00; 20005.00; 19994.00; 19999.00; 20003.00; 20014.00;   0.97; 999.11; 193899.00;   0.50;
-16.35;  15.74; 1004.67; -434.35; -729.49; 280.17;   0.83;   0.38;   2.39; 29232.00; 19981.00; 19999.00; 20003.00; 19998.00; 19998.00;   0.97; 1004.93; 196014.00;   0.50;
-17.93;  15.13; 1011.87; 427.52; -484.49; -179.20;   0.76;   0.38;   2.41; 22365.00; 19998.00; 20000.00; 19998.00; 20000.00; 19998.00;   0.97; 1012.14; 196014.00;   0.50;
-18.30;  14.88; 1013.45; -311.85; 228.64; -467.95;   0.73;   0.33;   2.41; 30724.00; 19999.00; 20049.00; 19951.00; 20002.00; 19997.00;   0.97; 1013.73; 196014.00;   0.50;
-18.42;  15.01; 1012.72; -1182.47; 1016.14; -800.45;   0.78;   0.28;   2.40; 23458.00; 19998.00; 20004.00; 19996.00; 19999.00; 20003.00;   0.97; 1013.00; 196014.00;   0.50;
-18.42;  15.01; 1012.72; -237.48; 1466.76; -1338.57;   0.88;   0.28;   2.35; 123126.00; 19996.00; 19999.00; 19999.00; 19999.00; 19999.00;   0.97; 1013.00; 196014.00;   0.50;
-16.84;  16.35; 1003.08; -456.23; 1226.14; -1019.20;   1.00;   0.32;   2.31; 9273.00; 19999.00; 20003.00; 19996.00; 19999.00; 20003.00;   0.97; 1003.36; 196014.00;   0.50;
-16.84;  16.35; 1003.08; 690.03; 1024.89; -914.20;   1.11;   0.33;   2.25; 109052.00; 19996.00; 19998.00; 19999.00; 19999.00; 19999.00;   0.97; 1003.36; 196014.00;   0.50;
09:50:15
-15.98;  16.84; 1000.89; 1403.15;  75.51; 293.30;   1.17;   0.29;   2.22; 14701.00; 19999.00; 20000.00; 19999.00; 20002.00; 19997.00;   0.97; 1001.16; 196014.00;   0.50;
-14.40;  16.35; 996.25;  77.52; -908.86; 1159.55;   1.18;   0.26;   2.20; 13518.00; 19999.00; 19998.00; 20004.00; 19996.00; 19999.00;   0.97; 996.49; 196014.00;   0.50;
-13.42;  15.86; 996.01; -1033.72; -926.36; 1465.80;   1.16;   0.23;   2.20; 86704.00; 20001.00; 19998.00; 20039.00; 19960.00; 19999.00;   0.98; 996.22; 196014.00;   0.50;
-13.30;  14.27; 1009.92; -53.73; -340.11; 1299.55;   1.14;   0.26;   2.19; 3531.00; 19999.00; 19999.00; 19999.00; 20003.00; 20260.00;   0.98; 1010.10; 193687.00;   0.50;
-13.42;  13.66; 1014.06; 515.03; -81.99; 262.67;   1.14;   0.33;   2.18; 427.00; 19737.00; 19998.00; 20006.00; 19993.00; 19999.00;   0.98; 1014.24; 193687.00;   0.50;
-12.69;  12.44; 1014.80; 326.90;  88.64; -1062.95;   1.13;   0.28;   2.18; 88073.00; 20003.00; 19996.00; 19999.00; 19996.00; 19997.00;   0.98; 1014.95; 193687.00;   0.50;
-12.69;  12.44; 1014.80; -193.73; -86.36; -481.08;   1.11;   0.22;   2.16; 187650.00; 20019.00; 19979.00; 19999.00; 19999.00; 19998.00;   0.98; 1014.95; 193687.00;   0.50;
-12.69;  12.44; 1014.80;  51.27; -685.74; 1352.05;   1.08;   0.16;   2.16; 288100.00; 19999.00; 19999.00; 20000.00; 20045.00; 19954.00;   0.98; 1014.95; 193687.00;   0.50;
-12.69;  12.20; 1013.58; 296.27; -1258.86; 2332.05;   1.03;   0.17;   2.18; 46187.00; 19999.00; 19999.00; 19999.00; 20003.00; 19996.00;   0.98; 1013.73; 193687.00;   0.50;
-12.69;  12.20; 1013.58; 379.40; -388.24; 354.55;   0.98;   0.23;   2.17; 146818.00; 19998.00; 20000.00; 19999.00; 19999.00; 19999.00;   0.98; 1013.73; 193687.00;   0.50;
09:50:16
-12.32;  10.74; 1005.52; -2503.73;  88.64; 306.42;   0.98;   0.23;   2.12; 56699.00; 19999.00; 19999.00; 19999.00; 20003.00; 19995.00;   0.98; 1005.66; 193687.00;   0.50;
-15.01;  10.49; 1006.38; -648.72; 193.64;  92.05;   1.01;   0.16;   2.10; 63145.00; 20044.00; 19956.00; 20003.00; 19996.00; 19999.00;   0.97; 1006.54; 193687.00;   0.50;
-18.42;  11.71; 1009.92; 418.77; 355.51; -288.58;   1.06;   0.06;   2.08; 40602.00; 20005.00; 19995.00; 19998.00; 20003.00; 19996.00;   0.97; 1010.15; 193687.00;   0.50;
-19.03;  11.96; 1009.43;  20.65; 482.39; -817.95;   1.09;   0.04;   2.08; 85626.00; 19999.00; 19999.00; 19998.00; 19999.00; 20004.00;   0.97; 1009.68; 193934.00;   0.50;
-19.03;  11.96; 1009.43; 274.40; 272.39; -870.45;   1.08;   0.09;   2.08; 185995.00; 19996.00; 19999.00; 19999.00; 20015.00; 19983.00;   0.97; 1009.68; 193934.00;   0.50;
-19.03;  11.96; 1009.43; -40.60; -64.49; -599.20;   1.06;   0.15;   2.09; 285972.00; 19999.00; 19999.00; 19999.00; 20002.00; 19997.00;   0.97; 1009.68; 193934.00;   0.50;
-20.01;  11.47; 1006.62; -758.10; -51.36; -660.45;   1.03;   0.22;   2.11; 21818.00; 19999.00; 19999.00; 19999.00; 19999.00; 19998.00;   0.96; 1006.89; 193934.00;   0.50;
-20.01;  11.47; 1006.62; 221.90; -77.61; -481.08;   1.00;   0.23;   2.12; 122157.00; 20004.00; 19999.00; 19997.00; 19999.00; 19999.00;   0.96; 1006.89; 193934.00;   0.50;
-20.50;  11.10; 1005.28; 1376.90; -186.99; -279.83;   0.97;   0.30;   2.12; 98691.00; 20002.00; 19998.00; 19997.00; 19999.00; 20000.00;   0.96; 1005.55; 193934.00;   0.50;
-20.62;  10.49; 1003.94; 913.15; -95.11; -161.70;   0.98;   0.34;   2.07; 17500.00; 20003.00; 19995.00; 19999.00; 19998.00; 20004.00;   0.96; 1004.20; 193934.00;   0.50;
09:50:17
-21.47;   8.54; 1000.89; -320.60; 263.64; -240.45;   1.02;   0.36;   1.98; 14418.00; 19998.00; 19997.00; 19998.00; 20003.00; 20001.00;   0.96; 1001.15; 193934.00;   0.50;
-21.72;   5.25; 1003.82; 274.40; 307.39; -1312.32;   1.08;   0.39;   1.83; 64457.00; 19996.00; 19999.00; 19998.00; 19999.00; 19999.00;   0.96; 1004.06; 193934.00;   0.50;
