ESTABILIDAD;05/03/2025 09:28:46AM;DOBACK003;5;1
05/03/2025 09:28:53AM,0.12,-0.08,0.98,0.5,-0.3,0.1
05/03/2025 09:28:54AM,0.15,-0.10,0.97,0.6,-0.4,0.2
05/03/2025 09:28:55AM,0.18,-0.12,0.96,0.7,-0.5,0.3
05/03/2025 09:28:57AM,0.65,-0.15,0.95,0.8,-0.6,0.4
05/03/2025 09:28:58AM,0.70,-0.18,0.94,0.9,-0.7,0.5
05/03/2025 09:28:59AM,0.75,-0.20,0.93,1.0,-0.8,0.6
05/03/2025 09:29:01AM,0.80,-0.22,0.92,1.1,-0.9,0.7
05/03/2025 09:29:02AM,0.85,-0.25,0.91,1.2,-1.0,0.8
05/03/2025 09:29:03AM,0.90,-0.28,0.90,1.3,-1.1,0.9
ESTABILIDAD;05/03/2025 09:32:12AM;DOBACK003;5;2
05/03/2025 09:32:13AM,0.95,-0.30,0.89,1.4,-1.2,1.0
05/03/2025 09:32:14AM,1.00,-0.32,0.88,1.5,-1.3,1.1
05/03/2025 09:32:15AM,1.05,-0.35,0.87,1.6,-1.4,1.2
05/03/2025 09:32:16AM,1.10,-0.38,0.86,1.7,-1.5,1.3
05/03/2025 09:32:17AM,1.15,-0.40,0.85,1.8,-1.6,1.4
05/03/2025 09:32:18AM,1.20,-0.42,0.84,1.9,-1.7,1.5
05/03/2025 09:32:19AM,1.25,-0.45,0.83,2.0,-1.8,1.6
05/03/2025 09:32:20AM,1.30,-0.48,0.82,2.1,-1.9,1.7
05/03/2025 09:32:21AM,1.35,-0.50,0.81,2.2,-2.0,1.8 
