ESTABILIDAD;05/03/2025 09:28:37AM;DOBACK002;53;0;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3;usciclo4; usciclo5; si; accmag; microsds
  2.44;  70.39; 1003.33; 6666.10; 10282.47; 935.81;   1.00;   4.73;   0.00; 35059242.00; 28383.00; 11525.00; 19998.00; 20001.00; 19998.00;   0.97; 1005.80;   0.00; 
 -7.56;  77.35; 1025.17; 466.73; 793.10; -79.19;   1.99;   5.42;  -0.06; 35159124.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.92; 1028.11;   0.00; 
-12.20;  81.01; 1023.82; 982.97; 578.72; 161.44;   2.10;   5.51;  -0.06; 35259185.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.87; 1027.10;   0.00; 
-14.88;  82.72; 1022.97; 204.23;  23.10;   3.94;   2.10;   5.49;  -0.06; 35359400.00; 20083.00; 19915.00; 19999.00; 20001.00; 19998.00;   0.85; 1026.42;   0.00; 
-17.32;  84.42; 1043.83; -16674.53; -25386.90; 625.19;   1.24;   4.87;  -0.03; 35459492.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.83; 1047.38;   0.00; 
 -0.85;  73.32; 1018.70; 239.23; -265.65; -140.44;   0.54;   4.49;  -0.04; 35559465.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.99; 1021.34;   0.00; 
  4.39;  70.27; 1024.56; -242.02; -1355.03; -315.44;   0.54;   4.47;  -0.14; 35659077.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.95; 1026.97;   0.00; 
  8.54;  71.00; 1038.34; -3287.02; -17223.15; 1902.69;  -0.36;   4.29;  -0.11; 35759555.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.91; 1040.80;   0.00; 
 28.06;  64.66; 1016.02; -465.15; -3888.15; -1763.56;  -1.66;   4.10;  -0.18; 35859791.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.71; 1018.46;   0.00; 
09:29:12AM
 36.11;  64.29; 1023.34; 112.35; 963.72; -166.69;  -1.49;   4.13;  -0.23; 35959128.00; 20002.00; 19995.00; 20063.00; 19936.00; 20001.00;   0.63; 1025.99; 21274.00; 
 42.21;  64.90; 1035.90; -1773.28; -15162.53; 1732.06;  -2.49;   4.00;  -0.17; 36059119.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.57; 1038.79; 21274.00; 
 66.12;  56.97; 996.25; 484.23; 3317.48; -324.19;  -4.02;   3.82;  -0.01; 36162773.00; 20001.00; 19998.00; 20001.00; 19998.00; 19999.00;   0.30; 1000.07; 21274.00; 
 63.93;  57.58; 1004.67; 1927.97; 19063.10; -2332.31;  -2.02;   4.06;  -0.23; 36262060.00; 20061.00; 20008.00; 19932.00; 19998.00; 20001.00;   0.33; 1008.35; 21274.00; 
 39.28;  66.61; 1032.49; 291.73; 7718.73; 1565.81;   0.24;   4.37;  -0.34; 36359235.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.60; 1035.38; 21274.00; 
